Datetime,Load
2023-01-02 07:30:00,-0.1350349648171785
2023-01-02 07:45:00,-0.1349989935882609
2023-01-02 08:00:00,-0.1349751641627245
2023-01-02 08:15:00,-0.1349999997764823
2023-01-02 08:30:00,-0.1352054515806377
2023-01-02 08:45:00,-8.1919687
2023-01-02 09:00:00,-7.2852858
2023-01-02 09:15:00,-5.3697079
2023-01-02 09:30:00,-0.7844675852993154
2023-01-02 09:45:00,8.48544566681891
2023-01-02 10:00:00,25.795725905469503
2023-01-02 10:15:00,36.50198053426521
2023-01-02 10:30:00,43.10255819329703
2023-01-02 10:45:00,39.64701467227357
2023-01-02 11:00:00,44.35956268236539
2023-01-02 11:15:00,53.7548468069136
2023-01-02 11:30:00,72.56279082485204
2023-01-02 11:45:00,99.92257133955952
2023-01-02 12:00:00,125.85384775307593
2023-01-02 12:15:00,130.9909854826465
2023-01-02 12:30:00,143.8100940080781
2023-01-02 12:45:00,64.82773145851937
2023-01-02 13:00:00,67.75413324977927
2023-01-02 13:15:00,64.14782219897258
2023-01-02 13:30:00,82.42346491028923
2023-01-02 13:45:00,76.69806264721291
2023-01-02 14:00:00,89.01794149734775
2023-01-02 14:15:00,75.30127065450672
2023-01-02 14:30:00,70.15503687775164
2023-01-02 14:45:00,59.09781385993138
2023-01-02 15:00:00,53.60822573593738
2023-01-02 15:15:00,38.362764337010056
2023-01-02 15:30:00,31.17651081980825
2023-01-02 15:45:00,13.033918921144764
2023-01-02 16:00:00,12.540711935622223
2023-01-02 16:15:00,13.743453389025504
2023-01-02 16:30:00,9.582578993265306
2023-01-02 16:45:00,2.3126985657131374
2023-01-02 17:00:00,-3.5328588
2023-01-02 17:15:00,-7.4371663
2023-01-02 17:30:00,-9.9328425
2023-01-02 17:45:00,-2.6810667585067227
2023-01-02 18:00:00,-0.1996969682249152
2023-01-02 18:15:00,-0.1349999997764823
2023-01-02 18:30:00,-0.1349999997764823
2023-01-02 18:45:00,-0.1349999997764823
2023-01-02 19:00:00,-0.1349999997764823
2023-01-02 19:15:00,-0.1349999997764823
2023-01-02 19:30:00,-0.1349999997764823
2023-01-02 19:45:00,-0.1349999997764823
2023-01-02 20:00:00,-0.1350062536862002
2023-01-02 20:15:00,-0.1349999997764823
2023-01-02 20:30:00,-0.1349999997764823
2023-01-02 20:45:00,-0.1349999997764823
2023-01-02 21:00:00,-0.1349999997764823
2023-01-02 21:15:00,-0.1349999997764823
2023-01-02 21:30:00,-0.1349999997764823
2023-01-02 21:45:00,-0.134909090670672
2023-01-02 22:00:00,-0.1350822559591777
2023-01-02 22:15:00,-0.1351612901255005
2023-01-02 22:30:00,-0.1349999997764823
2023-01-02 22:45:00,-0.1349999997764823
2023-01-02 23:00:00,-0.1349833176606802
2023-01-02 23:15:00,-0.1349999997764823
2023-01-02 23:30:00,-0.1350022959881101
2023-01-02 23:45:00,-0.1349152539998795
2023-01-03 00:00:00,-0.134984522293679
2023-01-03 00:15:00,-0.1349953663921945
2023-01-03 00:30:00,-0.1350427348262222
2023-01-03 00:45:00,-0.135007358670911
2023-01-03 01:00:00,-0.1350537632261549
2023-01-03 01:15:00,-0.1349999997764823
2023-01-03 01:30:00,-0.1349999997764823
